0,1,2,3,4,5,6,7,8,9,10,11
에어부산,12:35ICN,14:25KIX,"직항, 01시간 50분",18:30KIX,20:35ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 420,500원~",,,
진에어,14:05ICN,16:00KIX,"직항, 01시간 55분",17:00KIX,19:10ICN,"직항, 02시간 10분",성인/모든 결제수단,"왕복 420,900원~",,,
에어서울,15:20ICN,17:00KIX,"직항, 01시간 40분",진에어,11:05KIX,13:10ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 422,600원~",,
에어서울,15:20ICN,17:00KIX,"직항, 01시간 40분",티웨이항공,15:30KIX,17:35ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 422,600원~",,
에어서울,07:15ICN,09:05KIX,"직항, 01시간 50분",이스타항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 423,400원~",,
에어부산,15:35ICN,17:30KIX,"직항, 01시간 55분",티웨이항공,10:55KIX,12:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 423,600원~",,
에어부산,09:45ICN,11:30KIX,"직항, 01시간 45분",12:25KIX,14:25ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 424,200원~",,,
에어부산,15:35ICN,17:30KIX,"직항, 01시간 55분",제주항공,09:50KIX,11:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 425,100원~",,
티웨이항공,07:55ICN,09:45KIX,"직항, 01시간 50분",진에어,11:05KIX,13:10ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 425,800원~",,
티웨이항공,12:10ICN,14:00KIX,"직항, 01시간 50분",진에어,11:05KIX,13:10ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 425,800원~",,
이스타항공,15:05ICN,17:00KIX,"직항, 01시간 55분",18:00KIX,19:50ICN,"직항, 01시간 50분",성인/모든 결제수단,"왕복 425,900원~",,,
진에어,14:05ICN,16:00KIX,"직항, 01시간 55분",티웨이항공,15:30KIX,17:35ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 426,500원~",,
에어서울,07:15ICN,09:05KIX,"직항, 01시간 50분",티웨이항공,10:55KIX,12:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 427,000원~",,
에어서울,07:15ICN,09:05KIX,"직항, 01시간 50분",제주항공,09:50KIX,11:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 428,500원~",,
아시아나항공,08:05ICN,09:40KIX,"직항, 01시간 35분",09:00KIX,11:00ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 428,600원~",,,
진에어,08:55ICN,10:50KIX,"직항, 01시간 55분",12:00KIX,14:00ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 429,700원~",,,
에어서울,15:20ICN,17:00KIX,"직항, 01시간 40분",제주항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 430,300원~",,
피치항공,21:00ICN,22:45KIX,"직항, 01시간 45분",12:30KIX,14:35ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 430,388원~",,,
피치항공,21:00ICN,22:45KIX,"직항, 01시간 45분",18:00KIX,20:05ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 430,388원~",,,
에어서울,13:10ICN,15:00KIX,"직항, 01시간 50분",이스타항공,18:00KIX,19:50ICN,"직항, 01시간 50분",성인/모든 결제수단,"왕복 430,500원~",,
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",진에어,12:00KIX,14:00ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 431,200원~",,
진에어,15:00ICN,16:40KIX,"직항, 01시간 40분",에어부산,12:25KIX,14:25ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 432,800원~",,
에어서울,15:20ICN,17:00KIX,"직항, 01시간 40분",16:00KIX,17:55ICN,"직항, 01시간 55분",성인/모든 결제수단,"왕복 433,900원~",,,
에어부산,12:35ICN,14:25KIX,"직항, 01시간 50분",12:25KIX,14:25ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 434,200원~",,,
제주항공,07:00ICN,09:00KIX,"직항, 02시간 00분",이스타항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 434,500원~",,
제주항공,16:55ICN,18:40KIX,"직항, 01시간 45분",에어부산,12:25KIX,14:25ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 434,600원~",,
진에어,08:00ICN,09:45KIX,"직항, 01시간 45분",18:00KIX,19:55ICN,"직항, 01시간 55분",성인/모든 결제수단,"왕복 434,900원~",,,
이스타항공,15:05ICN,17:00KIX,"직항, 01시간 55분",티웨이항공,15:30KIX,17:35ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 435,500원~",,
진에어,08:00ICN,09:45KIX,"직항, 01시간 45분",이스타항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 435,800원~",,
제주항공,07:00ICN,09:00KIX,"직항, 02시간 00분",09:50KIX,11:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 435,900원~",,,
티웨이항공,07:55ICN,09:45KIX,"직항, 01시간 50분",에어부산,12:25KIX,14:25ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 436,200원~",,
티웨이항공,12:10ICN,14:00KIX,"직항, 01시간 50분",에어부산,12:25KIX,14:25ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 436,200원~",,
에어부산,09:45ICN,11:30KIX,"직항, 01시간 45분",에어서울,09:55KIX,11:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 436,900원~",,
에어부산,12:35ICN,14:25KIX,"직항, 01시간 50분",에어서울,09:55KIX,11:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 436,900원~",,
에어부산,15:35ICN,17:30KIX,"직항, 01시간 55분",이스타항공,18:00KIX,19:50ICN,"직항, 01시간 50분",성인/모든 결제수단,"왕복 436,900원~",,
이스타항공,15:05ICN,17:00KIX,"직항, 01시간 55분",진에어,11:05KIX,13:10ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 437,500원~",,
진에어,15:00ICN,16:40KIX,"직항, 01시간 40분",에어서울,16:00KIX,17:55ICN,"직항, 01시간 55분",성인/모든 결제수단,"왕복 437,600원~",,
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",에어서울,16:00KIX,17:55ICN,"직항, 01시간 55분",성인/모든 결제수단,"왕복 437,700원~",,
